Image Path,Caption
images/1.jpg,a room with a wooden floor and a wall with a light 
images/2.jpg,a white wall with a light blue wall 
images/3.jpg,"a kitchen with a refrigerator, stove, sink and a table "
images/4.jpg,a room with a wooden floor and a white wall 
images/5.jpg,a large window in a kitchen with a shower 
images/6.jpg,"a kitchen with a refrigerator, sink, and a cabinet "
images/7.jpg,a blurry photo of a street scene with a light 
images/8.jpg,"a kitchen with a stove, sink, and refrigerator "
images/9.jpg,a light shines through a dimly lit room 
images/10.jpg,"a kitchen with a sink, counter, and a window "
images/11.jpg,a room with a wooden floor and a wooden floor 
images/12.jpg,a dark room with a white wall and a light 
images/13.jpg,a room with a white floor and a black wall 
images/14.jpg,a light shines on a wall in a dark room 
images/15.jpg,"a kitchen with a stove, microwave, and a dishwasher "
images/16.jpg,a large mirror in a room with a large window 
images/17.jpg,a bike is leaning against a wall in a room 
images/18.jpg,a room with a wooden floor and a wall with a rug 
images/19.jpg,a room with a wooden floor and a wooden floor 
images/20.jpg,"a kitchen with a stove, microwave, sink and refrigerator "
images/21.jpg,a blurry picture of a light blue wall 
images/22.jpg,"a kitchen with a sink, a chair, and a large window "
images/23.jpg,"a kitchen with a refrigerator, stove, and a sink "
images/24.jpg,a blurry photo of a dark room with a light shining on it 
images/25.jpg,a mirror reflecting a train passing by 
images/26.jpg,a blurry image of a light gray object 
images/27.jpg,a room with a white wall and a black and white floor 
images/28.jpg,a room with a white floor and a black wall 
images/29.jpg,"a kitchen with a stove, sink, and refrigerator "
images/30.jpg,"a kitchen with a sink, a chair, and a window "
images/31.jpg,"a kitchen with a stove, sink, and refrigerator "
images/32.jpg,a room with a wooden floor and a wall with a door 
images/33.jpg,a room with a wall and a window 
images/34.jpg,a room with a table and chairs and a wall with a door 
images/35.jpg,a room with a door open and a wall with a floor 
images/36.jpg,a room with a white wall and a black and white floor 
images/37.jpg,a dark room with a light on the wall 
images/38.jpg,a room with a white wall and a black and white floor 
images/39.jpg,"a kitchen with a stove, refrigerator, sink and a table "
images/40.jpg,"a kitchen with a refrigerator, stove, sink and a table "
images/41.jpg,a room with a wooden floor and a wooden floor 
images/42.jpg,"a kitchen with a table, refrigerator, and a stove "
images/43.jpg,a room with a wooden floor and a wall with a wall mounted wall 
images/44.jpg,"a kitchen with a stove, refrigerator, sink and a table "
images/45.jpg,"a kitchen with a stove, sink, and refrigerator "
images/46.jpg,"a kitchen with a sink, a counter, and a window "
images/47.jpg,a wall with a mirror and a light in it 
images/48.jpg,a table with a bowl of fruit on it 
images/49.jpg,a room with a white wall and a blue door 
images/50.jpg,a blurry image of a blurry sky 
images/51.jpg,"a kitchen with a sink, stove, and a counter top "
images/52.jpg,"a kitchen with a refrigerator, stove, sink and a dishwasher "
images/53.jpg,"a kitchen with a refrigerator, stove, and a window "
images/54.jpg,a blurry image of a dark night 
images/55.jpg,"a kitchen with a sink, counter, and a large mirror "
images/56.jpg,a mirror reflecting a reflection of a bathroom 
images/57.jpg,a kitchen with a table and a window 
images/58.jpg,a kitchen with a table and chairs and a refrigerator 
images/59.jpg,"a kitchen with a stove, sink, and cabinets "
images/60.jpg,a dark room with a light shining on it 
images/61.jpg,a wooden floor with a wooden floor and a wooden floor 
images/62.jpg,a kitchen with a table and chairs and a refrigerator 
images/63.jpg,a blurry photo of a person in a dark room 
images/64.jpg,a dark room with a light shining on the wall 
images/65.jpg,a mirror reflecting a large room with a large window 
images/66.jpg,"a kitchen with a stove, sink, and cabinets "
images/67.jpg,a room with a wooden floor and a wooden door 
images/68.jpg,a room with a table and a door 
images/69.jpg,"a kitchen with a stove, microwave, and oven "
images/70.jpg,a dark room with a dark background 
images/71.jpg,a room with a wooden floor and a wooden floor 
images/72.jpg,a dark room with a light shining on the wall 
images/73.jpg,"a kitchen with a refrigerator, sink, and a table "
images/74.jpg,a room with a wooden floor and a wooden floor 
images/75.jpg,"a kitchen with a stove, sink, and refrigerator "
images/76.jpg,a room with a wooden floor and a wooden door 
images/77.jpg,"a kitchen with a refrigerator, stove, sink and a microwave "
images/78.jpg,a room with a large window and a wooden floor 
images/79.jpg,"a kitchen with a refrigerator, stove, sink and a table "
images/80.jpg,a painting of a man with a black beard 
images/81.jpg,a room with a door open and a wall with a floor 
images/82.jpg,a room with a door open and a wall with a window 
images/83.jpg,a room with a wooden floor and a wooden floor 
images/84.jpg,"a kitchen with a stove, sink, and refrigerator "
images/85.jpg,a room with a wooden floor and a wall with a door 
images/86.jpg,a kitchen with a window and a large window 
images/87.jpg,"a kitchen with a stove, sink, and refrigerator "
images/88.jpg,a room with a large window and a large wooden table 
images/89.jpg,a kitchen with a large window and a large sink 
images/90.jpg,a room with a door open and a wooden floor 
images/91.jpg,a room with a window and a wall with a white wall 
images/92.jpg,"a kitchen with a refrigerator, stove, sink and a table "
images/93.jpg,a shot of a window with a large window 
images/94.jpg,"a kitchen with a refrigerator, stove, sink and a microwave "
images/95.jpg,a kitchen with a white floor and a black counter top 
images/96.jpg,a room with a door open and a wooden floor 
images/97.jpg,a door is open to a room with a wooden floor 
images/98.jpg,a bathroom with a shower curtain and a glass door 
images/99.jpg,a cloudy sky with a single cloud in the sky 
images/100.jpg,a room with a wooden floor and a wall with a shelf 
images/101.jpg,a room with a door open and a floor 
images/102.jpg,a door is open to a room with a wooden floor 
images/103.jpg,a room with a wooden floor and a wooden wall 
images/104.jpg,"a kitchen with a sink, stove, and refrigerator "
images/105.jpg,"a room with a bed, a desk and a door "
images/106.jpg,a dark room with a light shining on it 
images/107.jpg,a kitchen with a stove top oven and a sink 
images/108.jpg,a mirror in a bathroom with a reflection of a mirror 
images/109.jpg,"a kitchen with a refrigerator, stove, sink and a microwave "
images/110.jpg,a door is open to a room with a wooden floor 
images/111.jpg,a kitchen with a large window and a large counter top 
images/112.jpg,"a kitchen with a refrigerator, stove, sink and a table "
images/113.jpg,"a kitchen with a sink, stove, and cabinets "
images/114.jpg,"a kitchen with a sink, stove, and refrigerator "
images/115.jpg,"a kitchen with a refrigerator, stove, sink and a refrigerator "
images/116.jpg,"a kitchen with a stove, refrigerator, sink and a microwave "
images/117.jpg,a wooden bench with a white and black striped blanket 
images/118.jpg,a living room with a wooden floor and a white wall 
images/119.jpg,"a kitchen with a stove, microwave, and oven "
images/120.jpg,"a kitchen with a sink, stove, and cabinets "
images/121.jpg,a room with a window and a wall with a rug 
images/122.jpg,a living room with a fireplace and a table 
images/123.jpg,a large window with a view of a city 
images/124.jpg,a kitchen with a white refrigerator and a white sink 
images/125.jpg,"a kitchen with a sink, a counter, and a window "
images/126.jpg,a wooden door with a wooden frame 
images/127.jpg,a large mirror reflecting a large room 
images/128.jpg,"a kitchen with a sink, stove, refrigerator and a dishwasher "
images/129.jpg,a door is open to a room with a window 
images/130.jpg,a table with a laptop and a table cloth 
images/131.jpg,a kitchen with a large window and a large counter 
images/132.jpg,a kitchen with a large window and a large counter top 
images/133.jpg,a room with a white wall and a black floor 
images/134.jpg,a room with a shelf and a wall with a rug 
images/135.jpg,a room with a table and a window 
images/136.jpg,"a kitchen with a stove, sink, and refrigerator "
images/137.jpg,a room with a wooden floor and a wall with a door 
images/138.jpg,"a kitchen with a stove, sink, and cabinets "
images/139.jpg,"a kitchen with a stove, sink, and microwave "
images/140.jpg,a television screen in a room with a snow covered wall 
images/141.jpg,"a kitchen with a stove, microwave, and refrigerator "
images/142.jpg,a large bathroom with a large window and a large tub 
images/143.jpg,a room with a large mirror and a large window 
images/144.jpg,"a room with a chair, a table and a window "
images/145.jpg,a room with a mirror and a wall with a light 
images/146.jpg,a wooden door with a wooden frame 
images/147.jpg,a room with a white floor and a black wall 
images/148.jpg,a kitchen with a chair and a table 
images/149.jpg,"a kitchen with a stove, sink, and cabinets "
images/150.jpg,"a bathroom with a sink, a mirror, and a large window "
